rou,fir,sec,thi,for,fif,six,bon
825,2,7,18,20,24,33,37
826,14,25,31,34,40,44,24
827,3,11,14,31,32,37,38
828,1,2,3,15,20,25,43
829,1,3,21,29,35,37,30
830,3,12,14,35,40,45,5
831,1,3,11,24,30,32,7
832,12,14,27,33,39,44,17
833,3,11,24,38,39,44,26
834,5,6,13,14,17,20,7
835,14,21,22,25,30,36,43
836,12,19,20,25,41,45,2
837,7,12,16,34,42,45,4
838,35,36,37,41,44,45,30
839,7,10,19,22,35,40,31
840,15,20,23,26,39,44,28
841,6,14,18,26,36,39,13
842,4,8,11,18,37,45,33
843,5,6,24,25,32,37,8
844,8,14,18,30,31,44,15
845,8,14,32,35,37,45,28
846,19,24,27,30,31,34,36
847,1,2,8,18,29,38,42
848,4,10,14,19,21,45,9
849,1,2,4,8,19,38,14
850,1,2,6,16,20,33,41
851,2,18,24,34,40,42,5
852,13,15,27,29,34,40,35
853,14,21,23,32,40,45,44
854,2,15,20,21,29,34,22
855,5,9,17,25,39,43,32
856,1,5,11,12,18,23,9
857,1,10,13,16,37,43,6
858,4,17,30,32,33,34,15
859,19,26,28,31,33,36,17
860,13,14,18,22,35,39,16
861,3,9,24,30,33,34,18
862,4,19,21,24,26,41,35
863,4,16,25,29,34,35,1
